"nparticles","tvals","V1","V2","V3","V4","V5","V6","V7","V8"
1,20.5925896973064,1,0,0,0,0,0,0,0
1,20.6654838201287,1,0,0,0,0,0,0,0
1,20.738377942951,1,0,0,0,0,0,0,0
1,20.8112720657733,1,0,0,0,0,0,0,0
1,20.8841661885956,1,0,0,0,0,0,0,0
1,20.957060311418,1,0,0,0,0,0,0,0
1,21.0299544342403,1,0,0,0,0,0,0,0
1,21.1028485570626,1,0,0,0,0,0,0,0
1,21.1757426798849,1,0,0,0,0,0,0,0
1,21.2486368027073,1,0,0,0,0,0,0,0
1,21.3215309255296,1,0,0,0,0,0,0,0
1,21.3944250483519,1,0,0,0,0,0,0,0
1,21.4673191711742,1,0,0,0,0,0,0,0
1,21.5402132939966,1,0,0,0,0,0,0,0
1,21.6131074168189,1,0,0,0,0,0,0,0
1,21.6860015396412,1,0,0,0,0,0,0,0
1,21.7588956624635,1,0,0,0,0,0,0,0
1,21.8317897852858,1,0,0,0,0,0,0,0
2,0.0364470614111617,1,0,0,0,0,0,0,0
2,0.109341184233485,0.99,0.01,0,0,0,0,0,0
2,0.182235307055808,0.97,0.03,0,0,0,0,0,0
2,0.255129429878132,0.88,0.12,0,0,0,0,0,0
2,0.328023552700455,0.8,0.2,0,0,0,0,0,0
2,0.400917675522779,0.8,0.2,0,0,0,0,0,0
2,0.473811798345102,0.62,0.38,0,0,0,0,0,0
2,0.546705921167425,0.6,0.4,0,0,0,0,0,0
2,0.619600043989749,0.55,0.45,0,0,0,0,0,0
2,0.692494166812072,0.66,0.34,0,0,0,0,0,0
2,0.765388289634395,0.49,0.51,0,0,0,0,0,0
2,0.838282412456719,0.42,0.58,0,0,0,0,0,0
2,0.911176535279042,0.49,0.51,0,0,0,0,0,0
2,0.984070658101366,0.38,0.62,0,0,0,0,0,0
2,1.05696478092369,0.41,0.59,0,0,0,0,0,0
2,1.12985890374601,0.4,0.6,0,0,0,0,0,0
2,1.20275302656834,0.38,0.62,0,0,0,0,0,0
2,1.27564714939066,0.3,0.7,0,0,0,0,0,0
2,1.34854127221298,0.26,0.74,0,0,0,0,0,0
2,1.42143539503531,0.3,0.7,0,0,0,0,0,0
2,1.49432951785763,0.37,0.63,0,0,0,0,0,0
2,1.56722364067995,0.25,0.75,0,0,0,0,0,0
2,1.64011776350228,0.25,0.75,0,0,0,0,0,0
2,1.7130118863246,0.29,0.71,0,0,0,0,0,0
2,1.78590600914692,0.36,0.64,0,0,0,0,0,0
2,1.85880013196925,0.26,0.74,0,0,0,0,0,0
2,1.93169425479157,0.21,0.79,0,0,0,0,0,0
2,2.00458837761389,0.27,0.73,0,0,0,0,0,0
2,2.07748250043622,0.31,0.69,0,0,0,0,0,0
2,2.15037662325854,0.32,0.68,0,0,0,0,0,0
2,2.22327074608086,0.24,0.76,0,0,0,0,0,0
2,2.29616486890319,0.19,0.81,0,0,0,0,0,0
2,2.36905899172551,0.23,0.77,0,0,0,0,0,0
2,2.44195311454783,0.26,0.74,0,0,0,0,0,0
2,2.51484723737016,0.3,0.7,0,0,0,0,0,0
2,2.58774136019248,0.19,0.81,0,0,0,0,0,0
2,2.6606354830148,0.28,0.72,0,0,0,0,0,0
2,2.73352960583713,0.26,0.74,0,0,0,0,0,0
